movieId,title_tmdb,genres,actors,directors,overview,original_language,poster_path,avg_rating,total_rating_users,popularity_score,imdbId,tmdbId
11,The American President,Comedy|Drama|Romance,Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith,Rob Reiner,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",en,https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,3.6714285714285713,70.0,15.650124691423114,112346,9087.0
12,Dracula: Dead and Loving It,Comedy|Horror,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony,Mel Brooks,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",en,https://image.tmdb.org/t/p/w500/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,2.4210526315789473,19.0,7.252825504393873,112896,12110.0
13,Balto,Adventure|Animation|Children,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins,Simon Wells,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",en,https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,3.125,8.0,6.866326804175686,112453,21032.0
14,Nixon,Drama,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins,Oliver Stone,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,en,https://image.tmdb.org/t/p/w500/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,3.8333333333333335,18.0,11.287016086804687,113987,10858.0
15,Cutthroat Island,Action|Adventure|Romance,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide,Renny Harlin,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",en,https://image.tmdb.org/t/p/w500/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,3.0,13.0,7.917171988845775,112760,1408.0
16,Casino,Crime|Drama,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles,Martin Scorsese,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",en,https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,3.926829268292683,82.0,17.35203263061591,112641,524.0
17,Sense and Sensibility,Drama|Romance,Emma Thompson|Kate Winslet|Alan Rickman|Hugh Grant|Gemma Jones,Ang Lee,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",en,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,3.7761194029850746,67.0,15.933364916560523,114388,4584.0
18,Four Rooms,Comedy,Tim Roth|Jennifer Beals|David Proval|Ione Skye|Madonna,Allison Anders|Alexandre Rockwell|Quentin Tarantino|Robert Rodriguez,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,en,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,3.7,20.0,11.264733019576665,113101,5.0
19,Ace Ventura: When Nature Calls,Comedy,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton,Steve Oedekerk,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",en,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,2.727272727272727,88.0,12.241735553814925,112281,9273.0
20,Money Train,Action|Comedy|Crime|Drama|Thriller,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper,Joseph Ruben,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",en,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,2.5,15.0,6.931471805599453,113845,11517.0
21,Get Shorty,Comedy|Crime|Thriller,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina,Barry Sonnenfeld,"Chili Palmer is a Miami mobster who gets sent to L.A. to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",en,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,3.49438202247191,89.0,15.72405401654733,113161,8012.0
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.,Jon Amiel,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,en,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,3.2222222222222223,36.0,11.635179940742502,112722,1710.0
23,Assassins,Action|Crime|Thriller,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson,Richard Donner,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",en,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,3.125,16.0,8.853791700175675,112401,9691.0
24,Powder,Drama|Sci-Fi,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,Victor Salva,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",en,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,3.125,28.0,10.522799468707731,114168,12665.0
25,Leaving Las Vegas,Drama|Romance,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber,Mike Figgis,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",en,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,3.625,76.0,15.746294654219605,113627,451.0
26,Othello,Drama,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney,Oliver Parker,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,en,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg,3.5,13.0,9.236700653653404,114057,16420.0
27,Now and Then,Children|Drama,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann,Lesli Linka Glatter,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",en,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,3.3333333333333335,9.0,7.675283643313486,114011,9263.0
28,Persuasion,Drama|Romance,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine,Roger Michell,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth – the dashing one she once sent away – crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",en,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,4.2272727272727275,11.0,10.504378110467457,114117,17015.0
29,The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus,Jean-Pierre Jeunet|Marc Caro,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",fr,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,4.0131578947368425,38.0,14.702451343020293,112682,902.0
30,Shanghai Triad,Crime|Drama,Gong Li|Li Baotian|Sun Chun|Li Xuejian|Liu Jiang,Zhang Yimou,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",zh,https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,3.0,3.0,4.1588830833596715,115012,37557.0
31,Dangerous Minds,Drama,Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde,John N. Smith,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",en,https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,3.1842105263157894,38.0,11.66555155741282,112792,9909.0
32,Twelve Monkeys,Mystery|Sci-Fi|Thriller,Bruce Willis|Madeleine Stowe|Brad Pitt|Christopher Plummer|David Morse,Terry Gilliam,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.",en,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,3.983050847457627,177.0,20.639307361332882,114746,63.0
34,Babe,Children|Drama,Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn,Chris Noonan,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",en,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,3.65234375,128.0,17.749705461242826,112431,9598.0
36,Dead Man Walking,Crime|Drama,Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey,Tim Robbins,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,en,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,3.8358208955223883,67.0,16.185275824332233,112818,687.0
38,It Takes Two,Children|Comedy,Kirstie Alley|Steve Guttenberg|Ashley Olsen|Mary-Kate Olsen|Jane Sibbett,Andy Tennant,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",en,https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,2.125,4.0,3.420055563922463,113442,33689.0
39,Clueless,Comedy|Romance,Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison,Amy Heckerling,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",en,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,3.293269230769231,104.0,15.326744422393766,112697,9603.0
40,"Cry, the Beloved Country",Drama,Richard Harris|James Earl Jones|Charles S. Dutton|Vusi Kunene|Tsholofelo Wechoemang,Darrell James Roodt,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,en,https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,4.25,2.0,4.669102226839467,112749,34615.0
41,Richard III,Drama|War,Ian McKellen|Annette Bening|Jim Broadbent|Robert Downey Jr.|Kristin Scott Thomas,Richard Loncraine,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",en,https://image.tmdb.org/t/p/w500/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,3.7,15.0,10.25857827228719,114279,31174.0
42,Dead Presidents,Action|Crime|Drama,Larenz Tate|Keith David|Chris Tucker|Freddy Rodríguez|Rose Jackson,Albert Hughes|Allen Hughes,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,en,https://image.tmdb.org/t/p/w500/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg,3.0,7.0,6.238324625039507,112819,11443.0
43,Restoration,Drama,Robert Downey Jr.|Meg Ryan|Sam Neill|David Thewlis|Hugh Grant,Michael Hoffman,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",en,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,3.1875,8.0,7.0036533402592,114272,35196.0
44,Mortal Kombat,Action|Adventure|Fantasy,Robin Shou|Linden Ashby|Bridgette Wilson-Sampras|Christopher Lambert|Cary-Hiroyuki Tagawa,Paul W. S. Anderson,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",en,https://image.tmdb.org/t/p/w500/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,2.5434782608695654,46.0,9.792766726088628,113855,9312.0
45,To Die For,Comedy|Drama|Thriller,Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas,Gus Van Sant,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",en,https://image.tmdb.org/t/p/w500/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,3.3125,32.0,11.582181297357716,114681,577.0
46,How to Make an American Quilt,Drama|Romance,Winona Ryder|Anne Bancroft|Ellen Burstyn|Kate Nelligan|Jean Simmons,Jocelyn Moorhouse,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",en,https://image.tmdb.org/t/p/w500/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,3.066666666666667,15.0,8.502605414868663,113347,11861.0
47,Se7en,Mystery|Thriller,Morgan Freeman|Brad Pitt|Gwyneth Paltrow|John Cassini|Peter Crombie,David Fincher,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",en,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,3.9753694581280787,203.0,21.141491798188582,114369,807.0
48,Pocahontas,Animation|Children|Drama|Musical|Romance,Irene Bedard|Mel Gibson|David Ogden Stiers|John Kassir|Christian Bale,Mike Gabriel|Eric Goldberg,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",en,https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,3.1470588235294117,68.0,13.324982235056082,114148,10530.0
49,When Night Is Falling,Drama|Romance,Pascale Bussières|Rachael Crawford|Henry Czerny|David Fox|Don McKellar,Patricia Rozema,"Camille is a professor at a Protestant college and is in a long-term relationship Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.",en,https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,3.0,1.0,2.0794415416798357,114916,8391.0
50,The Usual Suspects,Crime|Mystery|Thriller,Stephen Baldwin|Gabriel Byrne|Benicio del Toro|Kevin Pollak|Kevin Spacey,Bryan Singer,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",en,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,4.237745098039215,204.0,22.557559445907614,114814,629.0
52,Mighty Aphrodite,Comedy|Drama|Romance,Woody Allen|Mira Sorvino|Helena Bonham Carter|F. Murray Abraham|Donald Symington,Woody Allen,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",en,https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg,3.4642857142857144,28.0,11.665274839596,113819,11448.0
53,Lamerica,Adventure|Drama,Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi,Gianni Amelio,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",it,https://image.tmdb.org/t/p/w500/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,5.0,2.0,5.493061443340549,110299,49133.0
54,The Big Green,Children|Comedy,Olivia d'Abo|Steve Guttenberg|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan,Holly Goldberg Sloan,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",en,https://image.tmdb.org/t/p/w500/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,2.3333333333333335,3.0,3.2346868426130784,112499,26441.0
55,Georgia,Drama,Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe,Ulu Grosbard,"Sadie looks up to her older sister Georgia, a successful folk singer. Unfortunately it is this very obsession — coupled with her self-destructive tendencies and rampant drug abuse — that keeps her spiraling down the drain.",en,https://image.tmdb.org/t/p/w500/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,4.0,1.0,2.772588722239781,113158,97406.0
57,Home for the Holidays,Drama,Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott,Jodie Foster,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",en,https://image.tmdb.org/t/p/w500/3zqlKdOttWyExzopVxglz50Vjxq.jpg,3.0625,8.0,6.7290002680921726,113321,9089.0
58,The Postman,Comedy|Drama|Romance,Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti,Michael Radford,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,it,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,4.027027027027027,37.0,14.648657778357608,110877,11010.0
