index,actor,movies_count,total_users,avg_rating,image_url
9049,Julianne Moore,41,669,3.1719512195121955,https://image.tmdb.org/t/p/w500/3YF19rWusxWfEI59ZM33dFhasRq.jpg
11990,Meryl Streep,41,431,3.2434146341463412,https://image.tmdb.org/t/p/w500/emAAzyK1rJ6aiMi0wsWYp51EC3h.jpg
8581,John Malkovich,40,562,3.28075,https://image.tmdb.org/t/p/w500/bAvm8SQrYBkjy31tPh3QWkeqtII.jpg
4625,Eddie Murphy,40,845,2.9859999999999998,https://image.tmdb.org/t/p/w500/qgjMfefsKwSYsyCaIX46uyOXIpy.jpg
17053,Tom Cruise,40,1494,3.38275,https://image.tmdb.org/t/p/w500/3mShHjSQR7NXOVbdTu5rT2Qd0MN.jpg
8467,John Cusack,40,702,3.119,https://image.tmdb.org/t/p/w500/aCwCx6JU7Jxbg6Q1ygcnLY750le.jpg
3311,Clint Eastwood,40,578,3.37275,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg
11684,Matt Damon,40,1213,3.40125,https://image.tmdb.org/t/p/w500/4KAxONjmVq7qcItdXo38SYtnpul.jpg
3160,Christopher Walken,40,574,3.10525,https://image.tmdb.org/t/p/w500/ApgDL7nudR9T2GpjCG4vESgymO2.jpg
18023,Woody Harrelson,40,664,3.32125,https://image.tmdb.org/t/p/w500/igxYDQBbTEdAqaJxaW6ffqswmUU.jpg
1159,Anthony Hopkins,40,803,3.2515,https://image.tmdb.org/t/p/w500/cbFWUHhk6pZKTEm48OKVM5awNNn.jpg
4169,Denzel Washington,39,755,3.4058974358974363,https://image.tmdb.org/t/p/w500/393wX9AGWpseVqojQDPLy3bTBia.jpg
10451,Liam Neeson,39,883,3.1687179487179487,https://image.tmdb.org/t/p/w500/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg
17902,Willem Dafoe,38,828,3.2649999999999997,https://image.tmdb.org/t/p/w500/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg
4594,Ed Harris,38,827,3.246052631578947,https://image.tmdb.org/t/p/w500/aAu9lJ02jlg0GAvv2vVnpJSDV1Y.jpg
8662,John Travolta,38,968,2.807105263157895,https://image.tmdb.org/t/p/w500/ap8eEYfBKTLixmVVpRlq4NslDD5.jpg
13012,Nicole Kidman,38,561,3.156578947368421,https://image.tmdb.org/t/p/w500/6HPtgxF8RBFiGJSkvc4TZGERNXN.jpg
5809,Gene Hackman,38,959,3.1589473684210527,https://image.tmdb.org/t/p/w500/xPmETCv0APDoIK5CvIIJwbTcjPA.jpg
15596,Sean Connery,38,1020,3.2778947368421054,https://image.tmdb.org/t/p/w500/hbB676mW62gjsh0f51ICYE11niG.jpg
16528,Sylvester Stallone,37,662,2.807027027027027,https://image.tmdb.org/t/p/w500/gn3pDWthJqR0VDYGViGD3048og7.jpg
16281,Steve Martin,37,471,3.03972972972973,https://image.tmdb.org/t/p/w500/d0KthX8hVWU9BxTCG1QUO8FURRm.jpg
6443,Harrison Ford,37,1984,3.3145945945945945,https://image.tmdb.org/t/p/w500/zVnHagUvXkR2StdOtquEwsiwSVt.jpg
5256,Ewan McGregor,36,801,3.125277777777778,https://image.tmdb.org/t/p/w500/q2UDxfwWnmXTB7khOUF3J9puBVP.jpg
95,Adam Sandler,36,634,3.1094444444444442,https://image.tmdb.org/t/p/w500/gLkLCsQdwDDPabRhKPB25nGtKwS.jpg
1884,Bill Murray,36,873,3.1402777777777775,https://image.tmdb.org/t/p/w500/nnCsJc9x3ZiG3AFyiyc3FPehppy.jpg
3585,Dan Aykroyd,36,682,2.8180555555555555,https://image.tmdb.org/t/p/w500/wyTicHEEceNui7myJpih5vtJZDN.jpg
17140,Tommy Lee Jones,35,1018,3.0854285714285714,https://image.tmdb.org/t/p/w500/rdKKuq8zWCDYlKSxIfwGo2RUjpN.jpg
11422,Mark Wahlberg,35,547,3.1525714285714286,https://image.tmdb.org/t/p/w500/bTEFpaWd7A6AZVWOqKKBWzKEUe8.jpg
1207,Antonio Banderas,35,584,3.0268571428571427,https://image.tmdb.org/t/p/w500/fce7zl6elUzsv7wudHFc7RgFtjD.jpg
12972,Nick Nolte,35,269,3.1645714285714286,https://image.tmdb.org/t/p/w500/jpYzFBi6zfn8CHVaXmqgiOTas4V.jpg
12065,Michael Douglas,35,614,3.1605714285714286,https://image.tmdb.org/t/p/w500/kVYGPIZowzXLEQfAGUNOqKjAbBb.jpg
5173,Ethan Hawke,35,450,3.288,https://image.tmdb.org/t/p/w500/2LoTr6x0TEM7L5em4kSx1VmGDgG.jpg
17948,William Hurt,35,413,3.3134285714285716,https://image.tmdb.org/t/p/w500/j3mjmuHLBW4XQSw53C8Sh0Lh3ZQ.jpg
9692,Kevin Costner,35,745,3.271142857142857,https://image.tmdb.org/t/p/w500/bykmxJHLfbFM3NT05RZXhx8YTzF.jpg
9021,Julia Roberts,35,800,3.144,https://image.tmdb.org/t/p/w500/fQacAdIa1WUNChQ6FgEko13eqOA.jpg
2093,Brad Pitt,35,1666,3.523428571428571,https://image.tmdb.org/t/p/w500/9OfnD7lxgIj3BNQpJFnwxnwl6w5.jpg
1716,Ben Stiller,35,750,3.222,https://image.tmdb.org/t/p/w500/scgpxhI05JpdNXXfmpK6z0rPOWN.jpg
9673,Kevin Bacon,34,700,3.101470588235294,https://image.tmdb.org/t/p/w500/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg
4405,Donald Sutherland,34,290,3.041764705882353,https://image.tmdb.org/t/p/w500/yM8WO2BYqFvgQXAvf4CIuCYnY4j.jpg
9732,Kevin Spacey,34,1040,3.5388235294117645,https://image.tmdb.org/t/p/w500/nPrUZDEbGQe6jwpVbHKJCXsMd7r.jpg
11925,Mel Gibson,34,1203,3.388235294117647,https://image.tmdb.org/t/p/w500/raTYx9BGK8kQOKcijtnRb4X3Pon.jpg
12281,Michelle Pfeiffer,34,491,2.9926470588235294,https://image.tmdb.org/t/p/w500/oGUmQBU87QXAsnaGleYaAjAXSlj.jpg
258,Al Pacino,33,986,3.3421212121212123,https://image.tmdb.org/t/p/w500/2dGBb1fOcNdZjtQToVPFxXjm4ke.jpg
15530,Scarlett Johansson,33,520,3.3442424242424242,https://image.tmdb.org/t/p/w500/mjReG6rR7NPMEIWb1T4YWtV11ty.jpg
15402,Sandra Bullock,33,872,3.003636363636364,https://image.tmdb.org/t/p/w500/hPHGKPAWZ8gArYXMk225rrYPoyJ.jpg
1699,Ben Kingsley,33,591,3.3924242424242426,https://image.tmdb.org/t/p/w500/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg
3739,Danny DeVito,33,735,3.071212121212121,https://image.tmdb.org/t/p/w500/6kO4IN7ndoIGw2JhyhAQN3SFmdx.jpg
5863,George Clooney,33,829,3.2784848484848483,https://image.tmdb.org/t/p/w500/dt0a7DT0SQeHb7NpURD6ifyEzsN.jpg
5773,Gary Oldman,33,850,3.356969696969697,https://image.tmdb.org/t/p/w500/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg
6487,Harvey Keitel,32,591,3.130625,https://image.tmdb.org/t/p/w500/7P30hza1neYWW3r7rSQOC736K2Z.jpg
14236,Ray Liotta,32,411,2.7215625,https://image.tmdb.org/t/p/w500/rhaCUi04uEXDFvuPM5Drj1AprE6.jpg
10185,Laurence Fishburne,32,835,3.2246875,https://image.tmdb.org/t/p/w500/2GbXERENPpl5MmlqOLlPVaVtifD.jpg
13347,Owen Wilson,32,475,3.14125,https://image.tmdb.org/t/p/w500/op8sGD20k3EQZLR92XtaHoIbW0o.jpg
2646,Cate Blanchett,32,398,3.4090625,https://image.tmdb.org/t/p/w500/mXpe59YDxcvAJS6EtshsvsRvLZP.jpg
16445,Susan Sarandon,32,363,3.1453125,https://image.tmdb.org/t/p/w500/nTdL8N5tbptLnSP8VnAblZmESM1.jpg
3031,Christian Bale,32,854,3.4421875,https://image.tmdb.org/t/p/w500/7Pxez9J8fuPd2Mn9kex13YALrCQ.jpg
2434,Cameron Diaz,32,883,3.1809375,https://image.tmdb.org/t/p/w500/d4f4cQ9EiYuvNMjT1IB2h06KoRx.jpg
3342,Colin Farrell,32,372,3.169375,https://image.tmdb.org/t/p/w500/lZ3dU4uFEV4BccAEvjJUBIY2OaB.jpg
1674,Ben Affleck,32,738,3.0446875,https://image.tmdb.org/t/p/w500/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg
3145,Christopher Plummer,32,753,3.371875,https://image.tmdb.org/t/p/w500/iZh3s9Vy9vYD4DYnAda6C1kdeco.jpg
9986,Kurt Russell,31,633,3.1919354838709677,https://image.tmdb.org/t/p/w500/6g1d98oH4miG4k0ZiZWmF3Dt0bO.jpg
2626,Cary Grant,31,254,3.538064516129032,https://image.tmdb.org/t/p/w500/7wVWukDgz9lr4qbNqnRwdMMVgBs.jpg
6567,Helen Mirren,31,201,3.1309677419354838,https://image.tmdb.org/t/p/w500/1reKRrsdsHXJaRVHVyOEg4oPTcZ.jpg
928,Angelina Jolie,31,523,3.1025806451612907,https://image.tmdb.org/t/p/w500/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg
15616,Sean Penn,31,444,3.5170967741935484,https://image.tmdb.org/t/p/w500/9glqNTVpFpdN1nFklKaHPUyCwR6.jpg
7831,Jeff Daniels,31,672,3.193548387096774,https://image.tmdb.org/t/p/w500/r0mkZJZnTSJO3HJRsMW5HtszxE8.jpg
8562,John Leguizamo,31,437,3.1667741935483873,https://image.tmdb.org/t/p/w500/kwYCdxTlDh9zauUCg4mp2XTCQTw.jpg
11749,Matthew McConaughey,31,528,3.428709677419355,https://image.tmdb.org/t/p/w500/lCySuYjhXix3FzQdS4oceDDrXKI.jpg
17876,Will Ferrell,31,500,3.2816129032258066,https://image.tmdb.org/t/p/w500/vL1QjMdMtuM2f8fQZzei6WAvicZ.jpg
2836,Charlize Theron,31,417,3.0206451612903225,https://image.tmdb.org/t/p/w500/ie1KbeYFG5E0GVr1QP7tDNuXvga.jpg
7153,Jack Nicholson,31,1063,3.3409677419354837,https://image.tmdb.org/t/p/w500/hBHcQIEa6P48HQAlLZkh0eKSSkG.jpg
6319,Gérard Depardieu,31,106,3.482258064516129,https://image.tmdb.org/t/p/w500/cibkIAJN6ctlqHohhdDEcfbiCAL.jpg
8147,Jim Carrey,30,1397,2.9776666666666665,https://image.tmdb.org/t/p/w500/u0AqTz6Y7GHPCHINS01P7gPvDSb.jpg
7115,Jack Black,30,606,3.0856666666666666,https://image.tmdb.org/t/p/w500/59IhgCtiWI5yTfzPhsjzg7GjCjm.jpg
7921,Jennifer Jason Leigh,30,268,3.4746666666666663,https://image.tmdb.org/t/p/w500/yYD255SwZkFc1wGgBMVRZ2i7Ina.jpg
7636,Jason Statham,30,415,3.0853333333333333,https://image.tmdb.org/t/p/w500/whNwkEQYWLFJA8ij0WyOOAD5xhQ.jpg
16302,Steve Zahn,30,217,3.0766666666666667,https://image.tmdb.org/t/p/w500/rwrPdKGwXnByxUVMxMf8Y7oswi3.jpg
8145,Jim Broadbent,29,431,3.2413793103448274,https://image.tmdb.org/t/p/w500/jTyvGwwR1NFpvgDhcmuWZCM241w.jpg
14315,Reese Witherspoon,29,393,3.1006896551724137,https://image.tmdb.org/t/p/w500/o1z4UwW2137IViFIRk8AV8hWze1.jpg
16960,Tim Robbins,29,745,3.231379310344827,https://image.tmdb.org/t/p/w500/djLVFETFTvPyVUdrd7aLVykobof.jpg
4522,Drew Barrymore,29,652,3.0531034482758623,https://image.tmdb.org/t/p/w500/9xMu2GLC5otUcC11sEWC5aEAERQ.jpg
1305,Arnold Schwarzenegger,29,1130,3.086206896551724,https://image.tmdb.org/t/p/w500/2marNcjIfCUE5Z2HyrcEiJHPbsA.jpg
17117,Tom Wilkinson,29,360,3.383103448275862,
18022,Woody Allen,29,363,3.559310344827586,https://image.tmdb.org/t/p/w500/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg
18007,Winona Ryder,29,548,3.3220689655172415,https://image.tmdb.org/t/p/w500/dlffgYbqr1BllWacVLhAFw23nLl.jpg
16257,Steve Buscemi,29,876,3.3386206896551722,https://image.tmdb.org/t/p/w500/lQKdHMxfYcCBOvwRKBAxPZVNtkg.jpg
7364,James Franco,29,409,3.0841379310344825,https://image.tmdb.org/t/p/w500/bjmAntHGiibLZixH8nTNVBzaFQn.jpg
6203,Greg Kinnear,29,464,3.066206896551724,https://image.tmdb.org/t/p/w500/z7AxO6ChRTs2C0e7T9KqYJDY3KA.jpg
9856,Kirsten Dunst,28,707,3.2278571428571428,https://image.tmdb.org/t/p/w500/5dI5s8Oq2Ook5PFzTWMW6DCXVjm.jpg
8664,John Turturro,28,398,3.1567857142857143,https://image.tmdb.org/t/p/w500/6O9W9cJW0kCqMzYeLupV9oH0ftn.jpg
9708,Kevin Kline,28,459,3.14,https://image.tmdb.org/t/p/w500/ArH5dACd9AmWNNMnI6bGEkiFYIM.jpg
4127,Demi Moore,28,498,2.9546428571428573,https://image.tmdb.org/t/p/w500/wApParZYBDi4yxekjfxjKEifJYh.jpg
8968,Jude Law,28,580,3.4546428571428573,https://image.tmdb.org/t/p/w500/6UadpSbfC39WMChAcdnNunzwDxv.jpg
14170,Ralph Fiennes,28,754,3.412857142857143,https://image.tmdb.org/t/p/w500/u29BOqiV5GCQ8k8WUJM50i9xlBf.jpg
7981,Jeremy Irons,28,290,3.2214285714285715,https://image.tmdb.org/t/p/w500/w8Ct1q02Ht3sWdOSqfp3B85TzT.jpg
15931,Sigourney Weaver,28,952,3.3592857142857144,https://image.tmdb.org/t/p/w500/wTSnfktNBLd6kwQxgvkqYw6vEon.jpg
7899,Jennifer Aniston,27,403,3.1792592592592595,https://image.tmdb.org/t/p/w500/vq7KKJE4gsb8WQEUkvMB2zUcsOO.jpg
6081,Glenn Close,27,439,3.43962962962963,https://image.tmdb.org/t/p/w500/4VHZ1GfLwN7MUgApy0LCBzdDF9L.jpg
11413,Mark Ruffalo,27,548,3.5237037037037036,https://image.tmdb.org/t/p/w500/5GilHMOt5PAQh6rlUKZzGmaKEI7.jpg
272,Alan Arkin,27,329,3.304814814814815,https://image.tmdb.org/t/p/w500/lTMMpkqL0G3WeFNfbtdP5COZEiX.jpg
13636,Paul Rudd,27,448,3.3,https://image.tmdb.org/t/p/w500/6jtwNOLKy0LdsRAKwZqgYMAfd5n.jpg
11725,Matthew Broderick,27,608,3.1722222222222225,https://image.tmdb.org/t/p/w500/2Pq8pwOX5ZFfT2p5pNLGfvUi9Pp.jpg
15149,Russell Crowe,27,697,3.378148148148148,https://image.tmdb.org/t/p/w500/rsxGCRtPu42uKDJZlz7qknvz8h6.jpg
8843,Joseph Gordon-Levitt,27,489,3.3177777777777777,https://image.tmdb.org/t/p/w500/4U9G4YwTlIEbAymBaseltS38eH4.jpg
11841,Max von Sydow,27,379,3.5107407407407405,https://image.tmdb.org/t/p/w500/fOzSDFqMx84NR7PSv36P7j0Qf1q.jpg
9360,Kate Winslet,27,536,3.407777777777778,https://image.tmdb.org/t/p/w500/cPRq7uH3PIFcHilP15BrMKunink.jpg
13924,Philip Seymour Hoffman,27,415,3.5777777777777775,https://image.tmdb.org/t/p/w500/50rqDkmvXwjwVhFH7q6ph2Rkw7S.jpg
15700,Seth Rogen,26,378,3.3469230769230767,https://image.tmdb.org/t/p/w500/nYl9bvQzaPQLzlf0wf75clLN6Hi.jpg
14792,Robert Redford,26,386,3.568076923076923,https://image.tmdb.org/t/p/w500/hNiy78lk26xTE6tjisSCowcOVw0.jpg
11327,Marisa Tomei,26,297,2.921538461538461,https://image.tmdb.org/t/p/w500/f68nmyE9we5ABfa3YVvv9rZSrq4.jpg
13572,Paul Giamatti,26,295,3.3607692307692307,https://image.tmdb.org/t/p/w500/kn7LAbFYP5RPC2r61tDx2CRUeuw.jpg
17400,Uma Thurman,26,855,3.1703846153846156,https://image.tmdb.org/t/p/w500/sBgAZWi3o4FsnaTvnTNtK6jpQcF.jpg
7839,Jeff Goldblum,26,776,2.9453846153846155,https://image.tmdb.org/t/p/w500/ceSmXnD0FUSTaq2WIrnZu9caL0t.jpg
13619,Paul Newman,26,417,3.4953846153846153,https://image.tmdb.org/t/p/w500/bP2fByqNR7BorsUNuD6nSm0u2vJ.jpg
15037,Rosario Dawson,26,182,3.065,https://image.tmdb.org/t/p/w500/1mm7JGHIUX3GRRGXEV9QCzsI0ao.jpg
17424,Val Kilmer,26,777,3.3461538461538463,https://image.tmdb.org/t/p/w500/sWH9jTD0bC5gWhhceUlzfNiNup0.jpg
17632,Ving Rhames,26,782,3.186923076923077,https://image.tmdb.org/t/p/w500/4gpLVNKPZlVucc4fT2fSZ7DksTK.jpg
10348,Leonardo DiCaprio,26,1140,3.541923076923077,https://image.tmdb.org/t/p/w500/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg
6310,Gwyneth Paltrow,26,764,3.2353846153846155,https://image.tmdb.org/t/p/w500/alLfgUJcSm2USn7BnG6Y7e9Znpr.jpg
3136,Christopher McDonald,26,342,2.5576923076923075,https://image.tmdb.org/t/p/w500/gK1XhbfD9Xd8s3VXRPpgDCluyZp.jpg
12117,Michael Keaton,26,583,3.1246153846153844,https://image.tmdb.org/t/p/w500/baeHNv3qrVsnApuKbZXiJOhqMnw.jpg
2664,Catherine Keener,26,306,3.2657692307692305,https://image.tmdb.org/t/p/w500/n4CTwGszs6cwS1wJRlDQ5Mlh7Ex.jpg
4548,Dwayne Johnson,26,147,2.8984615384615386,https://image.tmdb.org/t/p/w500/5QApZVV8FUFlVxQpIK3Ew6cqotq.jpg
5958,Gerard Butler,26,286,2.9973076923076927,https://image.tmdb.org/t/p/w500/rTO5opVC3Gs6hPYAxWSP9eEjogi.jpg
14480,Richard Gere,26,430,3.005,https://image.tmdb.org/t/p/w500/lWjnKsszeYaY7McFPyyQxK2gONV.jpg
4235,Diane Keaton,26,476,3.413846153846154,https://image.tmdb.org/t/p/w500/tnx7pJqisfAzvXOR5wHQsbnH9XH.jpg
8537,John Hurt,26,563,3.406538461538461,https://image.tmdb.org/t/p/w500/bjNSzt1d7uK3q5PbtFXUJrRt4qg.jpg
6793,Hugh Jackman,26,634,3.3638461538461537,https://image.tmdb.org/t/p/w500/4Xujtewxqt6aU0Y81tsS9gkjizk.jpg
15213,Ryan Reynolds,26,222,3.0665384615384617,https://image.tmdb.org/t/p/w500/trzgptffGvAlAT6MEu01fz47cLW.jpg
6789,Hugh Grant,26,605,3.4646153846153847,https://image.tmdb.org/t/p/w500/hsSfxSHzkKJ6ZKq1Ofngcp7aAnT.jpg
2972,Chris Evans,25,331,3.2868,https://image.tmdb.org/t/p/w500/3bOGNsHlrswhyW79uvIHH1V43JI.jpg
7334,James Caan,25,486,3.2815999999999996,https://image.tmdb.org/t/p/w500/v3flJtQEyczxENi29yJyvnN6LVt.jpg
11889,Meg Ryan,25,540,3.2188,https://image.tmdb.org/t/p/w500/pxfTSfJ4yJWq52uomSWKzigngOa.jpg
15349,Sam Rockwell,25,398,3.4432,https://image.tmdb.org/t/p/w500/vYpWxV0bnUgKo7SdasfGP9HttUq.jpg
8859,Josh Brolin,25,371,3.2544,https://image.tmdb.org/t/p/w500/7QpneI3HoZCCDVPyWx3p3t7yeo7.jpg
14129,Rachel Weisz,25,388,3.3968000000000003,https://image.tmdb.org/t/p/w500/msTqKPA33ryVtcVNgOdeaJGYq16.jpg
529,Alfred Molina,25,362,3.0980000000000003,https://image.tmdb.org/t/p/w500/nJo91Czesn6z0d0pkfbDoVZY3sg.jpg
6579,Helena Bonham Carter,25,839,3.4492000000000003,https://image.tmdb.org/t/p/w500/hJMbNSPJ2PCahsP3rNEU39C8GWU.jpg
3743,Danny Glover,25,420,3.116,https://image.tmdb.org/t/p/w500/2PJbpI9AyuhG4SWUIDxZwuBnuMb.jpg
10467,Liev Schreiber,25,195,3.2992000000000004,https://image.tmdb.org/t/p/w500/26G7QjSb5ZazgWb9XB2X6SwcILQ.jpg
17863,Whoopi Goldberg,25,316,2.9084,https://image.tmdb.org/t/p/w500/wZKI7qcEIVgiHxeFtk3NuKt8URQ.jpg
7444,James Woods,25,364,3.236,https://image.tmdb.org/t/p/w500/UAvunLhXXFMD83wXOUvRWhNBmO.jpg
3052,Christian Slater,25,446,2.9619999999999997,https://image.tmdb.org/t/p/w500/6ww3uweEEXMlvtNjTlgBHxLErPF.jpg
13969,Pierce Brosnan,25,489,2.9175999999999997,https://image.tmdb.org/t/p/w500/dzXVwwJLPwiZeXOnf7YxorqVEEM.jpg
5429,Forest Whitaker,24,407,2.8995833333333336,https://image.tmdb.org/t/p/w500/4w7l5JUwnwFNBy7J93ZwYN1nihm.jpg
8248,Joan Cusack,24,609,3.0908333333333338,https://image.tmdb.org/t/p/w500/ytjiXEqnaEYtS7XkYmoUXPrZCm5.jpg
13244,Oliver Platt,24,283,2.9470833333333335,https://image.tmdb.org/t/p/w500/ipBzOzgWRdxxYoM5xNN1cfenFaC.jpg
8439,John C. Reilly,24,359,3.2412499999999995,
17597,Vince Vaughn,24,381,2.9475,https://image.tmdb.org/t/p/w500/A9fJ88dfXZGpgFTnQIK0bOtjMrj.jpg
7726,Jean Reno,24,558,3.2154166666666666,https://image.tmdb.org/t/p/w500/mw0EZJYz3kiFq9fNxsML773gotF.jpg
16961,Tim Roth,24,341,3.342916666666667,https://image.tmdb.org/t/p/w500/qSizF2i9gz6c6DbAC5RoIq8sVqX.jpg
17600,Vincent D'Onofrio,24,416,3.1166666666666667,https://image.tmdb.org/t/p/w500/qkyiLolEqYMGH25xD4sFIXAjZQB.jpg
1915,Billy Bob Thornton,24,312,3.142916666666667,https://image.tmdb.org/t/p/w500/vgLTcq1nYcNmIr3yLxS7sk84sav.jpg
7752,Jean-Claude Van Damme,24,120,2.4691666666666667,https://image.tmdb.org/t/p/w500/v4hqSYeG17WOMp0xNjoWgi8Vbyn.jpg
11995,Mia Farrow,24,152,3.3533333333333335,https://image.tmdb.org/t/p/w500/vwxfB8Xv2EZoC0BbyOcy7MkUkpx.jpg
3343,Colin Firth,24,270,3.001666666666667,https://image.tmdb.org/t/p/w500/4VBeYEUQbfhnivdkqInM36u5fda.jpg
17894,Will Smith,24,978,3.063333333333333,https://image.tmdb.org/t/p/w500/8TlKqbXYgHmmaEoPBJ7djJ8Rxxa.jpg
15340,Sam Neill,24,589,3.18875,https://image.tmdb.org/t/p/w500/iIfuxalf37xUayuGyK0zG7z6WEZ.jpg
2146,Brendan Gleeson,24,288,3.1604166666666664,https://image.tmdb.org/t/p/w500/ctPPJu5ZYDZr1IPmzoNpezczrm0.jpg
4788,Elijah Wood,24,875,3.2445833333333334,https://image.tmdb.org/t/p/w500/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg
2006,Bob Hoskins,24,363,3.1024999999999996,https://image.tmdb.org/t/p/w500/qOeE7bVHAsNTbP77Qk6TwrrWHZc.jpg
2183,Brian Cox,24,536,3.362083333333333,https://image.tmdb.org/t/p/w500/scSjbFCTRngXlkJRoKptM5kQGw7.jpg
894,Andy García,24,333,3.1162499999999995,https://image.tmdb.org/t/p/w500/9EivXoBlczZcFBet96WOoFbDsfF.jpg
4693,Edward Norton,23,794,3.5617391304347827,https://image.tmdb.org/t/p/w500/8nytsqL59SFJTVYVrN72k6qkGgJ.jpg
19,Aaron Eckhart,23,362,3.3143478260869568,https://image.tmdb.org/t/p/w500/u5JjnRMr9zKEVvOP7k3F6gdcwT6.jpg
9327,Kate Beckinsale,23,290,3.2965217391304344,https://image.tmdb.org/t/p/w500/nUZuC2chd5PVw2tLxePZ6uaLbhx.jpg
2145,Brendan Fraser,23,354,3.0556521739130433,https://image.tmdb.org/t/p/w500/tFj5PaWWQbb8rHBBhu1EHklznph.jpg
5845,Geoffrey Rush,23,646,3.425652173913044,https://image.tmdb.org/t/p/w500/4zQuC1j0p7HkJlfuT8aJoyZAgQm.jpg
12085,Michael Gambon,23,404,3.2617391304347825,https://image.tmdb.org/t/p/w500/3jdWkDKf4IODbG4JKTeaC7AzxZH.jpg
14385,Renée Zellweger,23,389,3.0095652173913043,https://image.tmdb.org/t/p/w500/iNnPqkEF0hPWhmWpjyuLuUdbKN8.jpg
7465,Jamie Lee Curtis,23,388,2.8352173913043477,https://image.tmdb.org/t/p/w500/eWKubKAAssRzmFwCZKh1mdYqGCH.jpg
8566,John Lithgow,23,429,2.9508695652173915,https://image.tmdb.org/t/p/w500/8Y1sjBdnVR483S8PrnAQzlESwhx.jpg
17165,Toni Collette,23,428,3.278695652173913,https://image.tmdb.org/t/p/w500/lzXRh16qe4HHeBN6tMyw0DHvaMn.jpg
11687,Matt Dillon,23,335,3.140434782608696,https://image.tmdb.org/t/p/w500/wVoSUexYH79igPgxIXKWRlV2uBk.jpg
7430,James Stewart,23,321,3.611304347826087,
8737,Jonah Hill,23,343,3.4065217391304343,https://image.tmdb.org/t/p/w500/cymlWttB83MsAGR2EkTgANtjeRH.jpg
17854,Wesley Snipes,23,345,3.11,https://image.tmdb.org/t/p/w500/81D6oJ81kiQ5xnEHhaHrY29ntdO.jpg
